asiento_id,fecha_registro,proveedor_id,nif,pedido,importe_esperado,estado
AS-90001,2026-09-01,P010,B98455101,PO-2026-0071,951.89,PAGADA
AS-90003,2026-08-17,P002,A41220987,PO-2026-0500,3139.66,PENDIENTE
AS-90007,2026-08-16,P006,A46990201,PO-2026-0504,6483.85,PENDIENTE
AS-90012,2026-08-02,P003,B30455812,PO-2026-0509,5347.84,PENDIENTE
AS-90015,2026-08-24,P003,B30455812,PO-2026-0512,3679.88,PENDIENTE
AS-90020,2026-08-26,P010,B98455101,PO-2026-0517,4047.50,PENDIENTE
AS-90021,2026-08-07,P007,J40112358,PO-2026-0518,6070.03,PENDIENTE
AS-90022,2026-08-10,P007,J40112358,PO-2026-0519,2041.79,PENDIENTE
AS-90023,2026-08-27,P007,J40112358,PO-2026-0520,3662.83,PENDIENTE
AS-90026,2026-08-03,P001,B46102331,PO-2026-0523,4905.29,PENDIENTE
AS-90027,2026-08-09,P003,B30455812,PO-2026-0524,3625.60,PENDIENTE
AS-90029,2026-08-23,P001,B46102331,PO-2026-0526,5861.75,PENDIENTE
AS-90031,2026-08-24,P006,A46990201,PO-2026-0528,1008.01,PENDIENTE
AS-90032,2026-08-08,P009,A46311208,PO-2026-0529,3496.74,PENDIENTE
AS-90033,2026-08-22,P004,B98120774,PO-2026-0530,6778.69,PENDIENTE
AS-90034,2026-08-10,P001,B46102331,PO-2026-0531,2211.67,PENDIENTE
AS-90035,2026-08-05,P005,B96233419,PO-2026-0532,6827.57,PENDIENTE
AS-90036,2026-08-15,P002,A41220987,PO-2026-0533,6668.98,PENDIENTE
AS-90037,2026-08-09,P001,B46102331,PO-2026-0534,9457.00,PENDIENTE
AS-90038,2026-08-06,P010,B98455101,PO-2026-0535,2120.10,PENDIENTE
AS-90039,2026-08-25,P006,A46990201,PO-2026-0536,943.80,PENDIENTE
AS-90040,2026-08-26,P010,B98455101,PO-2026-0537,15596.90,PENDIENTE
AS-99001,2026-09-15,P001,B46102331,PO-2026-1301,1500.40,PENDIENTE
AS-99002,2026-09-15,P002,A41220987,PO-2026-1302,2254.00,PENDIENTE
AS-99003,2026-09-15,P002,A41220987,PO-2026-1303,943.80,PENDIENTE
AS-99004,2026-09-15,P003,B30455812,PO-2026-1304,1427.80,PENDIENTE
AS-99005,2026-09-15,P004,B98120774,PO-2026-1305,1113.20,PENDIENTE
AS-99006,2026-09-15,P013,FR40303265045,PO-2026-1306,1887.60,PENDIENTE
AS-99007,2026-09-15,P006,A46990201,PO-2026-1307,2831.40,PENDIENTE
AS-99008,2026-09-15,P012,DE812345678,PO-2026-1308,3775.20,PENDIENTE
AS-99009,2026-09-15,P015,5010401075570,PO-2026-1309,5244.50,PENDIENTE
AS-99010,2026-09-15,P006,A46990201,PO-2026-1310,3174.00,PENDIENTE
AS-99011,2026-09-15,P011,B90233808,PO-2026-1311,3393.00,PENDIENTE
AS-99012,2026-09-15,P010,B98455101,PO-2026-1312,4410.00,PENDIENTE
AS-99013,2026-09-15,P014,12.345.678/0001-95,PO-2026-1313,2500.00,PENDIENTE
AS-99014,2026-09-15,P004,B98120774,PO-2026-1314,2290.00,PENDIENTE
AS-99015,2026-09-15,P012,DE812345678,PO-2026-1315,5670.00,PENDIENTE
AS-99016,2026-09-15,P011,B90233808,PO-2026-1316,629.20,PENDIENTE
AS-99017,2026-09-15,P007,J40112358,PO-2026-1317,822.80,PENDIENTE
AS-99018,2026-09-15,P001,B46102331,PO-2026-1318,1815.00,PENDIENTE
