pedido,proveedor_id,nif,importe_total,estado,fecha_pedido
PO-2026-0500,P002,A41220987,3139.66,ABIERTO,2026-08-17
PO-2026-0504,P006,A46990201,6483.85,ABIERTO,2026-08-16
PO-2026-0509,P003,B30455812,5347.84,ABIERTO,2026-08-02
PO-2026-0512,P003,B30455812,3679.88,ABIERTO,2026-08-24
PO-2026-0517,P010,B98455101,4047.50,ABIERTO,2026-08-26
PO-2026-0518,P007,J40112358,6070.03,ABIERTO,2026-08-07
PO-2026-0519,P007,J40112358,2041.79,ABIERTO,2026-08-10
PO-2026-0520,P007,J40112358,3662.83,ABIERTO,2026-08-27
PO-2026-0523,P001,B46102331,4905.29,ABIERTO,2026-08-03
PO-2026-0524,P003,B30455812,3625.60,ABIERTO,2026-08-09
PO-2026-0526,P001,B46102331,5861.75,ABIERTO,2026-08-23
PO-2026-0528,P006,A46990201,1008.01,ABIERTO,2026-08-24
PO-2026-0529,P009,A46311208,3496.74,ABIERTO,2026-08-08
PO-2026-0530,P004,B98120774,6778.69,ABIERTO,2026-08-22
PO-2026-0531,P001,B46102331,2211.67,ABIERTO,2026-08-10
PO-2026-0532,P005,B96233419,6827.57,ABIERTO,2026-08-05
PO-2026-0533,P002,A41220987,6668.98,ABIERTO,2026-08-15
PO-2026-0534,P001,B46102331,9457.00,ABIERTO,2026-08-09
PO-2026-0535,P010,B98455101,2120.10,ABIERTO,2026-08-06
PO-2026-0536,P006,A46990201,943.80,ABIERTO,2026-08-25
PO-2026-0537,P010,B98455101,15596.90,ABIERTO,2026-08-26
PO-2026-1301,P001,B46102331,1500.40,ABIERTO,2026-09-14
PO-2026-1302,P002,A41220987,2254.00,ABIERTO,2026-09-14
PO-2026-1303,P002,A41220987,943.80,ABIERTO,2026-09-14
PO-2026-1304,P003,B30455812,1427.80,ABIERTO,2026-09-14
PO-2026-1305,P004,B98120774,1113.20,ABIERTO,2026-09-14
PO-2026-1306,P013,FR40303265045,1887.60,ABIERTO,2026-09-14
PO-2026-1307,P006,A46990201,2831.40,ABIERTO,2026-09-14
PO-2026-1308,P012,DE812345678,3775.20,ABIERTO,2026-09-14
PO-2026-1309,P015,5010401075570,5244.50,ABIERTO,2026-09-14
PO-2026-1310,P006,A46990201,3174.00,ABIERTO,2026-09-14
PO-2026-1311,P011,B90233808,3393.00,ABIERTO,2026-09-14
PO-2026-1312,P010,B98455101,4410.00,ABIERTO,2026-09-14
PO-2026-1313,P014,12.345.678/0001-95,2500.00,ABIERTO,2026-09-14
PO-2026-1314,P004,B98120774,2290.00,ABIERTO,2026-09-14
PO-2026-1315,P012,DE812345678,5670.00,ABIERTO,2026-09-14
PO-2026-1316,P011,B90233808,629.20,ABIERTO,2026-09-14
PO-2026-1317,P007,J40112358,822.80,ABIERTO,2026-09-14
PO-2026-1318,P001,B46102331,1815.00,ABIERTO,2026-09-14
